year	1M+ Barrels	100,001 to 1M Barrels	30,001 to 100,000 Barrels	1 to 30,000 Barrels
2007	180565927.3	11614415.1	2955708.68	2164733.26
2008	182459400.6	11946318.94	2749432.36	2551713.71
2009	181203285.9	10253541.4	2914221.29	2598222.74
2010	176222629.8	13261896.87	2770142.85	2956733.63
2011	170191493.2	16375442.2	2912074.45	3267812.4
2012	176380080.3	12465187.98	3647602.05	3654332.07
2013	171239157.3	12435342.5	4096362.97	4226511.94
2014	169885119.7	12930356.3	4188231.1	5011430.89
2015	165059433.2	15696245.21	4341478.96	6015860.62
2016	163111388.6	14763045.12	5382258.83	6583216.72
2017	157771814.8	15045873.27	5406077.38	7358065.07
2018	154824114.3	14637242.47	5290450.34	8039145.71
