year	1M+ Barrels	100,001 to 1M Barrels	30,001 to 100,000 Barrels	1 to 30,000 Barrels
2008	1.010486327	1.028576888	0.930210876	1.178765882
2009	1.003529783	0.882828908	0.98596364	1.20025076
2010	0.975946196	1.141848019	0.937217821	1.365865109
2011	0.942544896	1.409923966	0.985237304	1.509568158
2012	0.976818179	1.073251461	1.234087133	1.688121182
2013	0.948347011	1.070681769	1.385915668	1.952440062
2014	0.940848156	1.113302408	1.41699726	2.315033904
2015	0.914122812	1.351445172	1.468845353	2.7790309
2016	0.903334262	1.271096736	1.820970675	3.041121436
2017	0.873762936	1.295448212	1.829029165	3.399063158
2018	0.857438148	1.26026514	1.789909261	3.713688822
