year,county,state,fips,rate
2008,﻿Autauga County,AL,1001,0
2008,Baldwin County,AL,1003,0
2008,Barbour County,AL,1005,0
2008,Bibb County,AL,1007,0
2008,Blount County,AL,1009,0
2008,Bullock County,AL,1011,0
2008,Butler County,AL,1013,0
2008,Calhoun County,AL,1015,0
2008,Chambers County,AL,1017,0
2008,Cherokee County,AL,1019,0
2008,Chilton County,AL,1021,0
2008,Choctaw County,AL,1023,0
2008,Clarke County,AL,1025,0
2008,Clay County,AL,1027,0
2008,Cleburne County,AL,1029,0
2008,Coffee County,AL,1031,0
2008,Colbert County,AL,1033,0
2008,Conecuh County,AL,1035,0
2008,Coosa County,AL,1037,0
2008,Covington County,AL,1039,0
2008,Crenshaw County,AL,1041,0
2008,Cullman County,AL,1043,0
2008,Dale County,AL,1045,0
2008,Dallas County,AL,1047,0
2008,Dekalb County,AL,1049,0
2008,Elmore County,AL,1051,0
2008,Escambia County,AL,1053,0
2008,Etowah County,AL,1055,0
2008,Fayette County,AL,1057,0
2008,Franklin County,AL,1059,0
2008,Geneva County,AL,1061,0
2008,Greene County,AL,1063,0
2008,Hale County,AL,1065,0
2008,Henry County,AL,1067,0
2008,Houston County,AL,1069,0
2008,Jackson County,AL,1071,0
2008,Jefferson County,AL,1073,0
2008,Lamar County,AL,1075,0
2008,Lauderdale County,AL,1077,0
2008,Lawrence County,AL,1079,0
2008,Lee County,AL,1081,0
2008,Limestone County,AL,1083,0
2008,Lowndes County,AL,1085,0
2008,Macon County,AL,1087,0
2008,Madison County,AL,1089,0
2008,Marengo County,AL,1091,0
2008,Marion County,AL,1093,0
2008,Marshall County,AL,1095,0
2008,Mobile County,AL,1097,0
2008,Monroe County,AL,1099,0
2008,Montgomery County,AL,1101,0
2008,Morgan County,AL,1103,0
2008,Perry County,AL,1105,0
2008,Pickens County,AL,1107,0
2008,Pike County,AL,1109,0
2008,Randolph County,AL,1111,0
2008,Russell County,AL,1113,0
2008,St. Clair County,AL,1115,0
2008,Shelby County,AL,1117,0
2008,Sumter County,AL,1119,0
2008,Talladega County,AL,1121,0
2008,Tallapoosa County,AL,1123,0
2008,Tuscaloosa County,AL,1125,0
2008,Walker County,AL,1127,0
2008,Washington County,AL,1129,0
2008,Wilcox County,AL,1131,0
2008,Winston County,AL,1133,0
2008,Aleutians East Borough,AK,2013,0
2008,Aleutians West Census Area,AK,2016,0
2008,Anchorage Municipality,AK,2020,5869
2008,Bethel Census Area,AK,2050,0
2008,Bristol Bay Borough,AK,2060,0
2008,Denali Borough,AK,2068,0
2008,Dillingham Census Area,AK,2070,0
2008,Fairbanks North Star Borough,AK,2090,2500
2008,Haines Borough,AK,2100,307
2008,Hoonah-Angoon Census Area,AK,2105,0
2008,Juneau City And Borough,AK,2110,117600
2008,Kenai Peninsula Borough,AK,2122,502
2008,Ketchikan Gateway Borough,AK,2130,0
2008,Kodiak Island Borough,AK,2150,0
2008,Lake And Peninsula Borough,AK,2164,0
2008,Matanuska-Susitna Borough,AK,2170,0
2008,Nome Census Area,AK,2180,0
2008,North Slope Borough,AK,2185,0
2008,Northwest Arctic Borough,AK,2188,0
2008,Petersburg Census Area,AK,2195,0
2008,Prince Of Wales-Hyder Census Area,AK,2201,0
2008,Sitka City And Borough,AK,2220,0
2008,Skagway Municipality,AK,2232,0
2008,Southeast Fairbanks Census Area,AK,2240,0
2008,Valdez-Cordova Census Area,AK,2261,0
2008,Wade Hampton Census Area,AK,2270,0
2008,Wrangell City And Borough,AK,2280,0
2008,Yakutat City And Borough,AK,2282,0
2008,Yukon-Koyukuk Census Area,AK,2290,0
2008,Apache County,AZ,4001,0
2008,Cochise County,AZ,4003,0
2008,Coconino County,AZ,4005,1590
2008,Gila County,AZ,4007,0
2008,Graham County,AZ,4009,0
2008,Greenlee County,AZ,4011,0
2008,La Paz County,AZ,4012,0
2008,Maricopa County,AZ,4013,19951
2008,Mohave County,AZ,4015,1102
2008,Navajo County,AZ,4017,0
2008,Pima County,AZ,4019,2352
2008,Pinal County,AZ,4021,0
2008,Santa Cruz County,AZ,4023,0
2008,Yavapai County,AZ,4025,5181
2008,Yuma County,AZ,4027,0
2008,Arkansas County,AR,5001,0
2008,Ashley County,AR,5003,0
2008,Baxter County,AR,5005,0
2008,Benton County,AR,5007,0
2008,Boone County,AR,5009,0
2008,Bradley County,AR,5011,0
2008,Calhoun County,AR,5013,0
2008,Carroll County,AR,5015,0
2008,Chicot County,AR,5017,0
2008,Clark County,AR,5019,0
2008,Clay County,AR,5021,0
2008,Cleburne County,AR,5023,0
2008,Cleveland County,AR,5025,0
2008,Columbia County,AR,5027,0
2008,Conway County,AR,5029,0
2008,Craighead County,AR,5031,0
2008,Crawford County,AR,5033,0
2008,Crittenden County,AR,5035,0
2008,Cross County,AR,5037,0
2008,Dallas County,AR,5039,0
2008,Desha County,AR,5041,0
2008,Drew County,AR,5043,0
2008,Faulkner County,AR,5045,0
2008,Franklin County,AR,5047,0
2008,Fulton County,AR,5049,0
2008,Garland County,AR,5051,0
2008,Grant County,AR,5053,0
2008,Greene County,AR,5055,0
2008,Hempstead County,AR,5057,0
2008,Hot Spring County,AR,5059,0
2008,Howard County,AR,5061,0
2008,Independence County,AR,5063,0
2008,Izard County,AR,5065,0
2008,Jackson County,AR,5067,0
2008,Jefferson County,AR,5069,0
2008,Johnson County,AR,5071,0
2008,Lafayette County,AR,5073,0
2008,Lawrence County,AR,5075,0
2008,Lee County,AR,5077,0
2008,Lincoln County,AR,5079,0
2008,Little River County,AR,5081,0
2008,Logan County,AR,5083,0
2008,Lonoke County,AR,5085,0
2008,Madison County,AR,5087,0
2008,Marion County,AR,5089,0
2008,Miller County,AR,5091,0
2008,Mississippi County,AR,5093,0
2008,Monroe County,AR,5095,0
2008,Montgomery County,AR,5097,0
2008,Nevada County,AR,5099,0
2008,Newton County,AR,5101,0
2008,Ouachita County,AR,5103,0
2008,Perry County,AR,5105,0
2008,Phillips County,AR,5107,0
2008,Pike County,AR,5109,0
2008,Poinsett County,AR,5111,0
2008,Polk County,AR,5113,0
2008,Pope County,AR,5115,0
2008,Prairie County,AR,5117,0
2008,Pulaski County,AR,5119,0
2008,Randolph County,AR,5121,0
2008,St. Francis County,AR,5123,0
2008,Saline County,AR,5125,0
2008,Scott County,AR,5127,0
2008,Searcy County,AR,5129,0
2008,Sebastian County,AR,5131,0
2008,Sevier County,AR,5133,0
2008,Sharp County,AR,5135,0
2008,Stone County,AR,5137,0
2008,Union County,AR,5139,0
2008,Van Buren County,AR,5141,0
2008,Washington County,AR,5143,0
2008,White County,AR,5145,0
2008,Woodruff County,AR,5147,0
2008,Yell County,AR,5149,0
2008,Alameda County,CA,6001,2567
2008,Alpine County,CA,6003,0
2008,Amador County,CA,6005,0
2008,Butte County,CA,6007,669784
2008,Calaveras County,CA,6009,1500
2008,Colusa County,CA,6011,0
2008,Contra Costa County,CA,6013,2400
2008,Del Norte County,CA,6015,0
2008,El Dorado County,CA,6017,775
2008,Fresno County,CA,6019,75
2008,Glenn County,CA,6021,0
2008,Humboldt County,CA,6023,16972
2008,Imperial County,CA,6025,0
2008,Inyo County,CA,6027,0
2008,Kern County,CA,6029,2195
2008,Kings County,CA,6031,0
2008,Lake County,CA,6033,0
2008,Lassen County,CA,6035,0
2008,Los Angeles County,CA,6037,56670
2008,Madera County,CA,6039,0
2008,Marin County,CA,6041,2744
2008,Mariposa County,CA,6043,0
2008,Mendocino County,CA,6045,425
2008,Merced County,CA,6047,0
2008,Modoc County,CA,6049,0
2008,Mono County,CA,6051,0
2008,Monterey County,CA,6053,1895
2008,Napa County,CA,6055,450
2008,Nevada County,CA,6057,503
2008,Orange County,CA,6059,2243
2008,Placer County,CA,6061,506
2008,Plumas County,CA,6063,0
2008,Riverside County,CA,6065,30867
2008,Sacramento County,CA,6067,1100
2008,San Benito County,CA,6069,0
2008,San Bernardino County,CA,6071,120
2008,San Diego County,CA,6073,127344
2008,San Francisco County,CA,6075,98096
2008,San Joaquin County,CA,6077,500
2008,San Luis Obispo County,CA,6079,53500
2008,San Mateo County,CA,6081,1131
2008,Santa Barbara County,CA,6083,2037
2008,Santa Clara County,CA,6085,74125
2008,Santa Cruz County,CA,6087,1944
2008,Shasta County,CA,6089,0
2008,Sierra County,CA,6091,0
2008,Siskiyou County,CA,6093,800
2008,Solano County,CA,6095,0
2008,Sonoma County,CA,6097,1378
2008,Stanislaus County,CA,6099,0
2008,Sutter County,CA,6101,0
2008,Tehama County,CA,6103,0
2008,Trinity County,CA,6105,0
2008,Tulare County,CA,6107,437
2008,Tuolumne County,CA,6109,0
2008,Ventura County,CA,6111,250
2008,Yolo County,CA,6113,0
2008,Yuba County,CA,6115,0
2008,Adams County,CO,8001,88
2008,Alamosa County,CO,8003,500
2008,Arapahoe County,CO,8005,30000
2008,Archuleta County,CO,8007,0
2008,Baca County,CO,8009,0
2008,Bent County,CO,8011,0
2008,Boulder County,CO,8013,46206
2008,Broomfield County,CO,8014,0
2008,Chaffee County,CO,8015,0
2008,Cheyenne County,CO,8017,0
2008,Clear Creek County,CO,8019,0
2008,Conejos County,CO,8021,0
2008,Costilla County,CO,8023,0
2008,Crowley County,CO,8025,0
2008,Custer County,CO,8027,0
2008,Delta County,CO,8029,0
2008,Denver County,CO,8031,8986
2008,Dolores County,CO,8033,0
2008,Douglas County,CO,8035,0
2008,Eagle County,CO,8037,450
2008,Elbert County,CO,8039,0
2008,El Paso County,CO,8041,8876
2008,Fremont County,CO,8043,0
2008,Garfield County,CO,8045,1035
2008,Gilpin County,CO,8047,160
2008,Grand County,CO,8049,0
2008,Gunnison County,CO,8051,0
2008,Hinsdale County,CO,8053,0
2008,Huerfano County,CO,8055,0
2008,Jackson County,CO,8057,0
2008,Jefferson County,CO,8059,1755
2008,Kiowa County,CO,8061,0
2008,Kit Carson County,CO,8063,0
2008,Lake County,CO,8065,0
2008,La Plata County,CO,8067,8776
2008,Larimer County,CO,8069,543955
2008,Las Animas County,CO,8071,0
2008,Lincoln County,CO,8073,0
2008,Logan County,CO,8075,0
2008,Mesa County,CO,8077,1898
2008,Mineral County,CO,8079,0
2008,Moffat County,CO,8081,0
2008,Montezuma County,CO,8083,200
2008,Montrose County,CO,8085,0
2008,Morgan County,CO,8087,0
2008,Otero County,CO,8089,0
2008,Ouray County,CO,8091,0
2008,Park County,CO,8093,0
2008,Phillips County,CO,8095,0
2008,Pitkin County,CO,8097,0
2008,Prowers County,CO,8099,0
2008,Pueblo County,CO,8101,0
2008,Rio Blanco County,CO,8103,0
2008,Rio Grande County,CO,8105,0
2008,Routt County,CO,8107,0
2008,Saguache County,CO,8109,0
2008,San Juan County,CO,8111,0
2008,San Miguel County,CO,8113,0
2008,Sedgwick County,CO,8115,0
2008,Summit County,CO,8117,1960
2008,Teller County,CO,8119,0
2008,Washington County,CO,8121,0
2008,Weld County,CO,8123,0
2008,Yuma County,CO,8125,0
2008,Fairfield County,CT,9001,0
2008,Hartford County,CT,9003,0
2008,Litchfield County,CT,9005,0
2008,Middlesex County,CT,9007,0
2008,New Haven County,CT,9009,1780
2008,New London County,CT,9011,3100
2008,Tolland County,CT,9013,0
2008,Windham County,CT,9015,0
2008,Kent County,DE,10001,0
2008,New Castle County,DE,10003,200
2008,Sussex County,DE,10005,75022
2008,District Of Columbia,DC,11001,0
2008,Alachua County,FL,12001,0
2008,Baker County,FL,12003,0
2008,Bay County,FL,12005,0
2008,Bradford County,FL,12007,0
2008,Brevard County,FL,12009,12400
2008,Broward County,FL,12011,350
2008,Calhoun County,FL,12013,0
2008,Charlotte County,FL,12015,0
2008,Citrus County,FL,12017,0
2008,Clay County,FL,12019,0
2008,Collier County,FL,12021,0
2008,Columbia County,FL,12023,0
