name	city	state	founded	lat	long
1933 Brewing Co LLC	Fort Collins	Colorado	2013	40.52	-105.02
3 Point, LLC	Carson City	Nevada	2013	39.16	-119.86
303 Vodka	Boulder	Colorado	2008	40.05	-105.21
3403 Brighton LLC	Denver	Colorado	2013	39.76	-104.97
38 State Brewing Company LLC	Littleton	Colorado	2012	39.57	-105.08
471 Kalamath, LLC	Denver	Colorado	2015	39.64	-104.91
7 Hermits Brewing Company LLC	Eagle	Colorado	2014	39.66	-106.82
Absolute Threshold Brewery	Fort Collins	Colorado	2015	40.56	-105.13
Admiral Beverage	Santa Fe	New Mexico	2010	35.6	-106.1
Adventurous Stills	Tempe	Arizona	2017	33.44	-111.93
Alibi Ale Works	Incline Village	Nevada	2015	39.3	-119.9
All Colorado Beer Festival	Colorado Springs	Colorado	2008	38.88	-104.82
Millercoors LLC	Milwaukee	Wisconsin	1855	43.04	-87.97
Millercoors LLC	Albany	Georgia	1855	31.5	-84.0
Anheuser-Busch, LLC	Columbus	Ohio	1852	40.08	-82.98
Anheuser-Busch, LLC	Cartersville	Georgia	1852	34.2	-84.8
Asher Brewing Company LLC	Boulder	Colorado	2008	40.05	-105.21
Avery Brewing Company	Boulder	Colorado	1993	40.05	-105.21
B A B Brewery	Los Lunas	New Mexico	2010	34.8	-106.8
B B I Acquisition Co Inc	Breckenridge	Colorado	1989	39.5	-106.1
Back Country Brewery & Restaurant LLC	Frisco	Colorado	1996	39.59	-106.09
Backstop Brewing Co LLC	Longmont	Colorado	2016	40.17	-105.09
Balance Brewing Company LLC	Golden	Colorado	2014	39.7	-105.2
Bargain Brew and Smokes	Idaho Falls	Idaho	2005	43.5	-112.3
Barley House Ltd LLC	Alamogordo	New Mexico	1999	32.8	-106.1
Barrio Brewing Company, LLC	Tucson	Arizona	2008	32.25	-110.95
Bayern Brewing, Inc	Missoula	Montana	1986	46.86	-113.99
Bbd Acquisition Co	Denver	Colorado	1991	39.76	-104.97
